boss,phase,number_of_sources,total_minutes,attack_clips,positive_attack_clips,negative_clips,different_players,different_camera_conditions,coverage_score,status,notes
Seven Ashina Spears,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Lone Shadow,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Snake Eyes,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
O'Rin,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Armoured Warrior,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Long-arm Centipede,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Shichimen Warrior,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Headless,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Sakura Bull,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Okami Leader Shizu,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
